NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
040000100120	51.6	48.4	41.9	58.1	9	37223	47784	43355
040000100616	70.8	29.2	12.5	87.5	12	36300	49764	48081
040000101203	56.8	43.2	43.2	56.8	8	36419	46909	42373
040000101204	48.6	51.4	23.0	77.0	11	36898	49443	46561
040000101871	52.8	47.2	33.3	66.7	8	38584	45746	43359
040000101872	35.0	65.0	22.5	77.5	10	40447	45870	44650
040000102344	53.3	46.7	53.3	46.7	7	37587	44821	40963
040000102484	60.0	40.0	53.3	46.7	6	37688	43221	40270
040000300147	58.3	41.7	19.4	80.6	11	32787	41512	39815
040000301198	65.8	34.2	52.6	47.4	8	33500	42286	37662
040000301458	52.6	47.4	47.4	52.6	9	34648	42706	38889
040000301969	58.3	41.7	44.4	55.6	9	34788	41888	38733
040000400912	39.1	60.9	13.0	87.0	14	33300	47959	46047
040000500629	87.5	-1.0	37.5	62.5	6	33980	38245	36646
040002101276	72.7	27.3	31.8	68.2	12	25839	36324	32988
040002201354	83.3	-1.0	0.0	100.0	10	-2	33838	33838
040002301352	70.3	29.7	24.3	75.7	8	31417	41746	39233
040002301355	65.0	35.0	50.0	50.0	7	34756	39470	37113
040002301524	50.0	46.7	30.0	70.0	10	35760	37919	37271
040002601389	100.0	0.0	50.0	50.0	5	30699	33098	31898
040002601459	100.0	0.0	-1.0	-1.0	9	-1	-1	36465
040002601460	41.7	41.7	25.0	75.0	10	31799	39043	37232
040002601767	50.0	50.0	-1.0	87.5	13	-1	42127	40816
040002800528	75.0	-1.0	75.0	-1.0	5	26433	-1	26825
040004300733	62.5	37.5	87.5	-1.0	7	33951	-1	33872
040008200006	72.5	27.5	30.0	70.0	11	40117	46432	44537
040008201457	62.7	34.7	40.0	60.0	9	39023	48135	44490
040009901182	100.0	0.0	60.0	-1.0	5	32104	-1	37692
040012901790	61.5	38.5	61.5	38.5	7	28688	36300	31615
040013801727	66.7	33.3	44.4	55.6	11	33177	41360	37723
040014101657	85.7	-1.0	57.1	42.9	6	22925	24755	23709
040015201961	-1.0	-1.0	-1.0	-1.0	4	-1	-1	34650
040016201751	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
040016301820	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040016302429	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040016303138	100.0	0.0	-1.0	-1.0	10	-1	-1	37376
040021200060	71.4	28.6	47.6	52.4	10	32740	45575	39463
040021200061	65.0	35.0	-1.0	90.0	11	-1	40395	39601
040021201120	61.1	38.9	27.8	72.2	12	30605	43946	40240
040021202444	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040021601864	-1.0	60.0	80.0	-1.0	4	42752	-1	43002
040024102029	71.2	28.8	59.3	40.7	7	34202	41868	37320
040028102187	78.6	21.4	35.7	64.3	9	29203	35847	33474
040029500149	63.6	36.4	54.5	45.5	6	34810	37625	36089
040029500326	80.0	20.0	40.0	60.0	8	32387	40319	37146
040029500327	60.0	40.0	34.3	65.7	10	33464	41154	38518
040029500328	58.3	41.7	41.7	58.3	11	34067	43611	39634
040029500329	55.6	44.4	55.6	44.4	7	34638	41249	37576
040029500881	67.0	32.0	37.1	62.9	10	33173	41466	38388
040029501126	71.4	28.6	20.0	80.0	13	33285	42819	40912
040029501495	60.0	40.0	28.6	71.4	10	31616	41449	38640
040029501544	67.7	32.3	48.4	51.6	6	32637	40612	36753
040029502661	72.2	25.0	50.0	50.0	8	32819	42560	37689
040031502217	75.0	-1.0	-1.0	-1.0	8	-1	-1	37478
040034802241	0.0	0.0	-1.0	0.0	-1	-1	-2	-1
040041202410	-1.0	60.0	-1.0	60.0	13	-1	42350	41410
040041902473	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040042703160	50.0	50.0	-1.0	87.5	10	-1	42769	41564
040043102556	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040043402562	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040045000001	53.5	46.5	36.0	64.0	9	39632	48803	45497
040045001884	52.0	48.0	36.0	64.0	9	39112	48937	45400
040045002273	67.1	32.9	63.2	36.8	5	38700	45011	41025
040045002592	42.1	57.9	47.4	52.6	6	38520	44049	41430
040048000002	75.0	25.0	33.3	66.7	9	30581	43078	38912
040052000003	70.0	30.0	35.0	65.0	16	31571	44219	39792
040052003063	50.0	50.0	-1.0	75.0	16	-1	39819	38181
040060000007	74.1	25.9	44.4	55.6	8	42356	56940	50458
040060000008	68.9	31.1	46.7	53.3	10	42372	55349	49293
040060000009	68.9	31.1	36.1	63.9	9	42573	55226	50663
040060000010	57.8	42.2	51.1	48.9	7	41155	57011	48907
040060000012	76.6	23.4	60.9	39.1	7	41726	58033	48096
040060000015	63.5	36.5	38.5	61.5	9	40261	56747	50406
040060000016	70.4	29.6	44.4	55.6	8	41365	56392	49713
040060000018	72.1	27.9	47.5	52.5	7	42594	56110	49684
040060000302	72.1	27.9	52.5	47.5	7	42347	55562	48629
040060001283	82.8	17.2	41.4	58.6	10	40960	59242	51677
040060001418	53.6	46.4	50.7	49.3	6	41361	56552	48846
040060001486	82.0	18.0	36.0	64.0	10	40481	57108	51122
040060001707	80.0	20.0	35.0	65.0	7	41008	53623	49208
040060001708	78.0	22.0	53.7	46.3	6	41301	55790	48015
040060002002	63.8	36.2	58.6	41.4	6	42000	56153	47857
040061603094	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
040063000019	-1.0	60.0	-1.0	80.0	9	-1	45661	44212
040068000020	36.7	61.2	40.8	59.2	9	35450	44993	41098
040068000021	60.0	36.9	38.5	61.5	10	33990	45902	41320
040068000022	45.5	50.0	13.6	86.4	16	34887	51442	49184
040068000023	59.5	40.5	28.6	71.4	9	35567	40476	39073
040068000025	46.9	53.1	18.8	81.3	15	35096	49878	47106
040068000026	69.7	30.3	30.3	69.7	12	33624	46072	42300
040068000027	57.8	42.2	35.6	64.4	10	34983	44179	40909
040068000028	50.0	47.7	18.2	81.8	14	35545	46568	44564
040068000029	60.6	36.4	27.3	72.7	13	33852	46289	42897
040068000030	46.2	53.8	53.8	46.2	7	33425	43237	37953
040068000031	40.7	59.3	11.1	88.9	16	35757	48796	47347
040068000032	52.2	47.8	25.6	74.4	13	35330	46667	43770
040068000033	47.7	51.1	20.5	79.5	15	33739	49272	46095
040068001001	60.5	36.8	31.6	68.4	10	33559	44257	40879
040068001031	52.0	48.0	20.0	80.0	12	32471	46659	43821
040068001286	42.9	57.1	28.6	71.4	12	35930	46329	43358
040068001394	59.5	38.1	19.0	81.0	12	34554	44517	42619
040068001525	40.0	57.8	24.4	75.6	10	33565	43931	41397
040068002066	56.8	43.2	21.6	78.4	11	33274	45285	42688
040068002198	55.1	44.9	40.4	59.6	10	34542	45545	41095
040072000034	58.8	35.3	23.5	76.5	11	38232	46837	44812
040079000040	75.0	25.0	65.6	34.4	6	33463	44307	37191
040079000041	44.0	56.0	24.0	76.0	14	33705	49885	46001
040079000042	55.3	44.7	47.4	52.6	10	34820	48763	42158
040079000043	40.0	57.3	25.3	74.7	13	34985	48447	45036
040079001200	61.3	38.7	38.7	61.3	8	33651	44878	40532
040079001461	55.6	44.4	47.2	52.8	11	33570	51259	42906
040079001628	35.9	64.1	35.9	64.1	10	36401	45474	42217
040079002212	44.4	55.6	29.6	70.4	10	36399	44814	42320
040079002345	37.5	62.5	-1.0	87.5	12	-1	46369	44648
040084000044	66.7	33.3	50.0	50.0	9	38391	42541	40466
040087000046	75.0	-1.0	75.0	-1.0	6	27359	-1	30571
040091000047	71.4	-1.0	-1.0	71.4	7	-1	35532	36308
040091000048	42.9	-1.0	-1.0	85.7	7	-1	42185	42582
040091001059	-1.0	-1.0	-1.0	-1.0	5	-1	-1	41277
040096000049	50.0	50.0	44.2	55.8	9	35924	55323	46743
040096000051	57.6	42.4	42.4	57.6	9	35382	54151	46188
040096001154	65.8	34.2	63.2	36.8	5	36338	47597	40486
040096001878	74.2	25.8	58.1	41.9	6	35703	45753	39918
040096002255	54.5	45.5	70.5	29.5	5	35793	50966	40276
040096002381	58.3	41.7	54.2	45.8	8	35430	55502	44630
040096002494	47.6	52.4	35.7	64.3	8	38398	49391	45465
040100000052	63.6	36.4	54.5	45.5	7	39000	42499	40590
040100000053	-1.0	75.0	-1.0	-1.0	8	-1	-1	42480
040105000054	50.0	50.0	47.9	52.1	8	38987	47173	43250
040105000055	81.1	18.9	62.2	37.8	7	38131	47848	41807
040105000056	56.3	43.8	31.3	68.8	11	38976	49331	46095
040105000057	54.1	45.9	43.2	56.8	9	38160	48439	43994
040105003142	74.2	25.8	77.4	22.6	4	37810	42106	38780
040108000059	55.0	45.0	40.0	60.0	9	31794	42872	38441
040116000062	75.0	25.0	50.0	50.0	7	38841	38921	38881
040118000063	71.4	28.6	38.1	61.9	8	37743	41778	40240
040118000064	71.4	-1.0	-1.0	85.7	15	-1	42997	42219
040118000066	53.8	46.2	-1.0	84.6	15	-1	44991	43997
040118001817	50.0	50.0	30.0	70.0	11	35734	44757	42050
040126000070	-1.0	80.0	0.0	100.0	16	-2	39615	39615
040129000071	50.0	50.0	-1.0	83.3	11	-1	34728	33666
040133000072	-1.0	60.0	0.0	100.0	18	-2	47808	47808
040133000073	75.0	-1.0	0.0	100.0	16	-2	42699	42699
040138002490	81.3	18.8	62.5	37.5	6	32642	37469	34452
040138002491	83.3	16.7	56.7	43.3	7	32891	41161	36475
040138002492	83.3	16.7	66.7	33.3	5	31659	39689	34336
040138002642	81.8	18.2	90.9	-1.0	4	31128	-1	32272
040138003123	85.0	12.5	60.0	40.0	6	31021	39376	34363
040141000075	69.1	27.9	50.0	50.0	8	39307	45834	42571
040141002137	50.0	50.0	40.9	59.1	8	38867	45204	42611
040141003082	0.0	100.0	0.0	100.0	10	-2	41665	41665
040146000077	65.5	34.5	17.2	82.8	12	30714	43672	41438
040146000078	56.1	43.9	19.5	80.5	13	32100	42383	40376
040146000080	72.0	28.0	48.0	52.0	11	29403	47137	38625
040146000081	52.3	47.7	26.5	73.5	12	31910	43988	40785
040146000213	52.6	47.4	31.6	68.4	10	30159	42808	38813
040146001050	64.3	35.7	17.9	82.1	17	30629	47942	44850
040146001051	79.3	20.7	24.1	75.9	13	30846	42866	39965
040146001356	56.3	43.8	21.9	78.1	12	28708	43906	40582
040146003062	69.6	30.4	39.1	60.9	9	31341	40386	36847
040150000084	78.9	21.1	52.6	47.4	7	33375	37276	35223
040150000085	70.6	29.4	73.5	26.5	6	34025	40436	35722
040150000855	78.4	18.9	59.5	40.5	6	33527	38380	35494
040150001053	86.8	13.2	68.4	31.6	4	32795	37431	34259
040150001528	92.6	-1.0	44.4	55.6	10	34341	40843	37953
040150001757	77.4	22.6	54.8	45.2	8	33786	44115	38451
040150002184	81.3	18.8	75.0	25.0	5	30763	35698	31997
040160000086	66.7	33.3	41.0	59.0	11	34674	43874	40100
040160000087	47.6	52.4	14.3	85.7	12	36343	41998	41190
040160001529	52.6	47.4	36.8	63.2	11	36706	41851	39956
040160003173	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
